SAMPLE_ID	GEO_ACCESSION
S2	GSM18467688
S2	GSM18467689
S2	GSM18467690
S2	GSM18467691
S2	GSM18467692
S2	GSM18467693
S2	GSM18467694
S2	GSM18467695
S10	GSM18467696
S10	GSM18467697
S10	GSM18467698
S10	GSM18467699
S10	GSM18467700
S10	GSM18467701
S10	GSM18467702
S10	GSM18467703
S13	GSM18467704
S13	GSM18467705
S13	GSM18467706
S13	GSM18467707
S13	GSM18467708
S14	GSM18467709
S15	GSM18467710
S16	GSM18467711
S16	GSM18467712
S16	GSM18467713
S16	GSM18467714
S16	GSM18467715
S16	GSM18467716
